,Frames,Angles,label
0,0,318.1901344,0
1,1,307.7786312,0
2,2,300.9462974,0
3,3,283.3725212,0
4,4,268.0878419,0
5,5,257.6562989,0
6,6,242.2369282,0
7,7,227.8646256,0
8,8,214.0058713,0
9,9,196.7927837,0
10,10,183.3718991,0
11,11,164.047081,0
12,12,156.7339155,0
13,13,146.8557134,0
14,14,145.0353314,0
15,15,132.2420319,0
16,16,133.0514093,0
17,17,128.6665371,0
18,18,134.645876,0
19,19,137.3433089,0
20,20,132.1909694,0
21,21,136.5926985,0
22,22,137.3367793,0
23,23,140.8922479,0
24,24,149.553037,0
25,25,157.9935663,0
26,26,167.8591188,0
27,27,182.2393991,0
28,28,194.7686981,0
29,29,211.47127,0
30,30,226.8114924,0
31,31,235.7436586,0
32,32,257.7602543,0
33,33,272.0176595,0
34,34,284.9843365,0
35,35,302.918856,0
36,36,317.7323205,0
37,37,324.7356687,0
38,38,330.8954338,0
39,39,329.4120396,0
40,0,325.4454892,0
41,0.579710145,325.5707686,0
42,1.15942029,324.9374051,0
43,1.739130435,323.0288044,0
44,2.31884058,320.1101279,0
45,2.898550725,315.4572801,0
46,3.47826087,309.5960353,0
47,4.057971014,306.7359892,0
48,4.637681159,300.2223246,0
49,5.217391304,289.597296,0
50,5.797101449,274.9589985,0
51,6.376811594,275.1970443,0
52,6.956521739,267.5287226,0
53,7.536231884,260.2066368,0
54,8.115942029,258.0180257,0
55,8.695652174,249.3629739,0
56,9.275362319,237.6043388,0
57,9.855072464,228.1283256,0
58,10.43478261,221.7762496,0
59,11.01449275,212.8194947,0
60,11.5942029,206.2225975,0
61,12.17391304,205.5607248,0
62,12.75362319,198.5705453,0
63,13.33333333,190.6327727,0
64,13.91304348,181.6838588,0
65,14.49275362,175.7663742,0
66,15.07246377,171.7595666,0
67,15.65217391,168.3122336,0
68,16.23188406,171.1783175,0
69,16.8115942,165.5134406,0
70,17.39130435,160.2438677,0
71,17.97101449,161.4923716,0
72,18.55072464,177.270819,0
73,19.13043478,168.7570155,0
74,19.71014493,166.5358653,0
75,20.28985507,164.0461247,0
76,20.86956522,156.1767359,0
77,21.44927536,154.783432,0
78,22.02898551,148.8429979,0
79,22.60869565,146.3173852,0
80,23.1884058,144.1735254,0
81,23.76811594,143.6554146,0
82,24.34782609,141.8709594,0
83,24.92753623,150.8216491,0
84,25.50724638,149.9330415,0
85,26.08695652,148.1697052,0
86,26.66666667,150.4483656,0
87,27.24637681,151.7855254,0
88,27.82608696,145.7181044,0
89,28.4057971,143.5021451,0
90,28.98550725,138.6350616,0
91,29.56521739,141.8374095,0
92,30.14492754,145.6679162,0
93,30.72463768,151.5762484,0
94,31.30434783,158.3308956,0
95,31.88405797,163.9850902,0
96,32.46376812,181.9359475,0
97,33.04347826,192.5075776,0
98,33.62318841,206.3773696,0
99,34.20289855,217.0176842,0
100,34.7826087,230.4385687,0
101,35.36231884,237.7680994,0
102,35.94202899,254.0348233,0
103,36.52173913,261.2571336,0
104,37.10144928,272.3480631,0
105,37.68115942,282.3195246,0
106,38.26086957,289.3493328,0
107,38.84057971,304.5627596,0
108,39.42028986,309.4970931,0
109,0,322.8437472,0
110,0.833333333,322.3510174,0
111,1.666666667,315.3773806,0
112,2.5,307.2589221,0
113,3.333333333,290.5689314,0
114,4.166666667,281.1153212,0
115,5,276.2776075,0
116,5.833333333,266.3737376,0
117,6.666666667,254.8643088,0
118,7.5,241.0465629,0
119,8.333333333,226.4065715,0
120,9.166666667,218.6300459,0
121,10,210.9247729,0
122,10.83333333,200.1996547,0
123,11.66666667,183.4383432,0
124,12.5,174.025277,0
125,13.33333333,156.7547885,0
126,14.16666667,145.9495112,0
127,15,142.4281116,0
128,15.83333333,140.0925694,0
129,16.66666667,134.9247389,0
130,17.5,133.6444336,0
131,18.33333333,134.871846,0
132,19.16666667,134.6797264,0
133,20,137.3602205,0
134,20.83333333,137.4042615,0
135,21.66666667,139.2554614,0
136,22.5,137.2171417,0
137,23.33333333,140.6511695,0
138,24.16666667,137.7807416,0
139,25,136.7919487,0
140,25.83333333,141.9160113,0
141,26.66666667,145.1982724,0
142,27.5,153.3932973,0
143,28.33333333,156.3009907,0
144,29.16666667,170.3831196,0
145,30,181.7792902,0
146,30.83333333,194.1095302,0
147,31.66666667,204.9200531,0
148,32.5,217.2566588,0
149,33.33333333,233.1249914,0
150,34.16666667,254.2062064,0
151,35,270.1149191,0
152,35.83333333,282.7785406,0
153,36.66666667,296.7658801,0
154,37.5,310.7452829,0
155,38.33333333,323.9759331,0
156,39.16666667,328.2437904,0
157,0,328.0518621,0
158,0.8,322.3601425,0
159,1.6,323.6198207,0
160,2.4,320.8442777,0
161,3.2,317.7748453,0
162,4,312.9638103,0
163,4.8,312.6963811,0
164,5.6,305.8006221,0
165,6.4,296.3730896,0
166,7.2,286.3696901,0
167,8,272.695146,0
168,8.8,266.172971,0
169,9.6,255.210654,0
170,10.4,238.8388545,0
171,11.2,220.9487586,0
172,12,209.2621136,0
173,12.8,198.3708306,0
174,13.6,187.5150645,0
175,14.4,178.9040265,0
176,15.2,165.2625814,0
177,16,159.0233949,0
178,16.8,149.6785213,0
179,17.6,142.9789253,0
180,18.4,140.2599909,0
181,19.2,138.2954646,0
182,20,137.4838196,0
183,20.8,142.2053927,0
184,21.6,145.2563016,0
185,22.4,146.9811157,0
186,23.2,144.3500721,0
187,24,143.1002568,0
188,24.8,143.8239837,0
189,25.6,142.1814598,0
190,26.4,140.3876882,0
191,27.2,148.7317751,0
192,28,147.4319081,0
193,28.8,158.1656051,0
194,29.6,172.6040239,0
195,30.4,193.9618342,0
196,31.2,212.1297822,0
