,Frames,Angles,label
0,0,268.8811747,0
1,1,259.5284737,0
2,2,239.1705758,0
3,3,212.120964,0
4,4,205.8996589,0
5,5,202.9046551,0
6,6,188.4150644,0
7,7,193.1369245,0
8,8,204.4255128,0
9,9,191.633634,0
10,10,190.3588202,0
11,11,205.0453183,0
12,12,228.7478506,0
13,13,268.2378529,0
14,14,276.503297,0
15,15,285.5457161,0
16,16,302.795878,0
17,17,307.0271529,0
18,18,308.8539279,0
19,19,316.5184793,0
20,20,322.3524035,0
21,21,325.6117288,0
22,22,328.9236738,0
23,23,334.4295166,0
24,24,338.8954358,0
25,25,342.3188223,0
26,26,350.0202021,0
27,27,355.6719787,0
28,28,353.1182529,0
29,29,356.9350173,0
30,30,356.4703768,0
31,31,354.5424639,0
32,32,353.4979914,0
33,33,353.2580195,0
34,34,354.1247669,0
35,35,355.7009423,0
36,36,356.5893041,0
37,37,357.1876423,0
38,38,355.7608158,0
39,39,357.8468375,0
40,0,351.5859209,0
41,0.7692307692,352.163673,0
42,1.538461538,350.3650656,0
43,2.307692308,350.6833114,0
44,3.076923077,351.9999943,0
45,3.846153846,354.1444105,0
46,4.615384615,355.4382842,0
47,5.384615385,357.1949096,0
48,6.153846154,354.7392071,0
49,6.923076923,350.2412953,0
50,7.692307692,342.1318253,0
51,8.461538462,334.2100763,0
52,9.230769231,324.7907673,0
53,10,316.9763342,0
54,10.76923077,309.1356322,0
55,11.53846154,306.6556315,0
56,12.30769231,301.547538,0
57,13.07692308,294.656041,0
58,13.84615385,285.7321803,0
59,14.61538462,283.0630243,0
60,15.38461538,279.4129849,0
61,16.15384615,267.5600932,0
62,16.92307692,257.8963864,0
63,17.69230769,254.5224505,0
64,18.46153846,254.4938457,0
65,19.23076923,250.9225174,0
66,20,246.3242701,0
67,20.76923077,239.6226251,0
68,21.53846154,234.4895467,0
69,22.30769231,227.3717997,0
70,23.07692308,225.0476571,0
71,23.84615385,226.06778,0
72,24.61538462,225.8986918,0
73,25.38461538,225.6789236,0
74,26.15384615,237.0033568,0
75,26.92307692,241.1944292,0
76,27.69230769,254.1712558,0
77,28.46153846,266.876883,0
78,29.23076923,265.9474582,0
79,30,273.6700526,0
80,30.76923077,282.1113741,0
81,31.53846154,289.2271061,0
82,32.30769231,292.8669276,0
83,33.07692308,298.4104457,0
84,33.84615385,302.8774714,0
85,34.61538462,307.8892047,0
86,35.38461538,313.5068987,0
87,36.15384615,320.0670768,0
88,36.92307692,326.9488612,0
89,37.69230769,336.0098312,0
90,38.46153846,344.1965779,0
91,39.23076923,349.9680604,0
92,0,347.905152,0
93,0.6060606061,351.6478361,0
94,1.212121212,353.7692109,0
95,1.818181818,358.2390097,0
96,2.424242424,358.7374259,0
97,3.03030303,359.4934222,0
98,3.636363636,356.4778663,0
99,4.242424242,354.5565068,0
100,4.848484848,355.1630413,0
101,5.454545455,355.5363657,0
102,6.060606061,355.5647657,0
103,6.666666667,355.8122644,0
104,7.272727273,354.8248649,0
105,7.878787879,354.406229,0
106,8.484848485,354.1758467,0
107,9.090909091,354.6675247,0
108,9.696969697,354.285963,0
109,10.3030303,353.8111829,0
110,10.90909091,355.1460341,0
111,11.51515152,354.9730354,0
112,12.12121212,354.1730563,0
113,12.72727273,355.0721278,0
114,13.33333333,349.6703598,0
115,13.93939394,341.0537893,0
116,14.54545455,339.1625099,0
117,15.15151515,331.4274163,0
118,15.75757576,324.2949093,0
119,16.36363636,313.5985871,0
120,16.96969697,309.8417509,0
121,17.57575758,299.006612,0
122,18.18181818,293.7299493,0
123,18.78787879,288.1640418,0
124,19.39393939,280.7384241,0
125,20,274.9740996,0
126,20.60606061,266.1290456,0
127,21.21212121,259.2926,0
128,21.81818182,240.0117819,0
129,22.42424242,231.3425643,0
130,23.03030303,221.3863752,0
131,23.63636364,211.7964822,0
132,24.24242424,195.7964021,0
133,24.84848485,189.3770829,0
134,25.45454545,184.8260596,0
135,26.06060606,188.4670832,0
136,26.66666667,186.2770035,0
137,27.27272727,198.9313496,0
138,27.87878788,213.465193,0
139,28.48484848,217.4371871,0
140,29.09090909,225.7218446,0
141,29.6969697,243.2624602,0
142,30.3030303,249.4670587,0
143,30.90909091,262.7789334,0
144,31.51515152,272.46268,0
145,32.12121212,277.2013014,0
146,32.72727273,285.7127279,0
147,33.33333333,295.1973608,0
148,33.93939394,297.9247373,0
149,34.54545455,307.7823122,0
150,35.15151515,310.639394,0
151,35.75757576,320.5499302,0
152,36.36363636,326.2227575,0
153,36.96969697,335.8387896,0
154,37.57575758,344.1602276,0
155,38.18181818,352.8096786,0
156,38.78787879,358.7042448,0
157,39.39393939,354.4688755,0
158,0,349.1871585,0
159,0.7272727273,348.6158405,0
160,1.454545455,346.3566188,0
161,2.181818182,345.3915677,0
162,2.909090909,343.9379122,0
163,3.636363636,346.5738188,0
164,4.363636364,346.7221296,0
165,5.090909091,347.8358739,0
166,5.818181818,347.2703342,0
167,6.545454545,349.212758,0
168,7.272727273,347.8752841,0
169,8,349.3849608,0
170,8.727272727,353.6046107,0
171,9.454545455,358.6487873,0
172,10.18181818,356.9407136,0
173,10.90909091,348.1321055,0
174,11.63636364,344.4878718,0
175,12.36363636,332.4300607,0
176,13.09090909,319.5857124,0
177,13.81818182,310.9581589,0
178,14.54545455,306.0505587,0
179,15.27272727,291.5067364,0
180,16,285.4571969,0
181,16.72727273,276.3784138,0
182,17.45454545,269.2569307,0
183,18.18181818,266.9078374,0
184,18.90909091,254.6461043,0
185,19.63636364,253.8221102,0
186,20.36363636,248.9900519,0
187,21.09090909,232.4558852,0
188,21.81818182,222.1881028,0
189,22.54545455,214.3666756,0
190,23.27272727,191.3879521,0
191,24,196.5636031,0
192,24.72727273,185.9092456,0
193,25.45454545,181.2971194,0
194,26.18181818,196.7966628,0
195,26.90909091,201.4230026,0
