,Frames,Angles,Angles-Hip,label
2389,9.333333333,353.9850622,40.51410035,0
2390,10,323.3400352,40.00715004,0
2391,10.66666667,318.0632496,40.91743668,0
2392,11.33333333,340.0317471,53.30780964,0
2393,12,337.5070633,54.8660729,0
2394,12.66666667,329.0182719,57.28280215,0
2395,13.33333333,320.8332738,60.62566066,0
2396,14,314.1751644,65.90979553,0
2397,14.66666667,305.9716018,75.09620872,0
2398,15.33333333,301.1011305,78.94966484,0
2399,16,294.4694266,84.47579332,0
2400,16.66666667,289.6316173,88.83704669,0
2401,17.33333333,275.9334543,93.16970888,0
2402,18,262.1504331,102.5766689,0
2403,18.66666667,254.1351241,109.8245378,0
2404,19.33333333,249.2284802,116.667718,0
2405,20,240.52574,124.2111018,0
2406,20.66666667,216.9071234,139.3511314,0
2407,21.33333333,205.8318488,147.7910322,0
2408,22,227.9232214,140.374403,0
2409,22.66666667,213.6655498,148.1458469,0
2410,23.33333333,233.4267556,137.3815097,0
2411,24,232.3805345,138.134784,0
2412,24.66666667,212.7957389,148.6338229,0
2413,25.33333333,249.2538885,126.410614,0
2414,26,232.3213646,132.4752346,0
2415,26.66666667,249.9204944,118.3882563,0
2416,27.33333333,273.0236298,108.8799363,0
2417,28,274.1968924,104.3255456,0
2418,28.66666667,273.85011,99.11687754,0
2419,29.33333333,282.089012,94.26184247,0
2420,30,292.0121704,88.37338612,0
2421,30.66666667,293.0414389,87.93517485,0
2422,31.33333333,296.0191692,81.90056611,0
2423,32,300.8255733,77.43095862,0
2424,32.66666667,307.8409562,71.38008037,0
2425,33.33333333,312.5355911,66.3817616,0
2426,34,317.7715868,63.99977411,0
2427,34.66666667,325.0735645,59.66182534,0
2428,35.33333333,329.3965415,59.26154894,0
2429,36,336.8355464,54.25771479,0
2430,36.66666667,348.5126154,49.3051412,0
2431,37.33333333,350.5897715,48.22425011,0
2432,38,355.7914524,44.82946167,0
2433,38.66666667,359.0915302,43.03245939,0
2434,39.33333333,355.3946666,40.36948475,0
2435,0,354.6594651,38.99455742,0
2436,0.6779661017,355.2981424,38.73148244,0
2437,1.355932203,355.2303869,39.33392903,0
2438,2.033898305,355.5294672,38.97917242,0
2439,2.711864407,357.0652216,38.82252886,0
2440,3.389830508,356.8888388,38.96060114,0
2441,4.06779661,356.0616856,38.83239166,0
2442,4.745762712,355.8355517,38.87380993,0
2443,5.423728814,354.3278284,38.60998362,0
2444,6.101694915,347.5765999,34.2248041,0
2445,6.779661017,354.3036669,38.5864946,0
2446,7.457627119,357.0330888,38.918715,0
2447,8.13559322,339.396116,35.93213624,0
2448,8.813559322,354.8851409,43.19680058,0
2449,9.491525424,345.2040581,47.16487411,0
2450,10.16949153,342.6584329,51.25625987,0
2451,10.84745763,332.4380384,57.22952668,0
2452,11.52542373,327.090533,59.34222713,0
2453,12.20338983,313.9647126,66.46616225,0
2454,12.88135593,310.4688032,69.19351825,0
2455,13.55932203,304.0963597,74.92675855,0
2456,14.23728814,294.9704073,80.38224238,0
2457,14.91525424,288.6405978,83.18130171,0
2458,15.59322034,280.3493765,89.80948804,0
2459,16.27118644,269.1219799,96.687912,0
2460,16.94915254,262.3292338,104.4504493,0
2461,17.62711864,257.1145346,107.9589536,0
2462,18.30508475,248.4263018,115.2921998,0
2463,18.98305085,240.0979379,124.4691191,0
2464,19.66101695,220.3738133,136.4430554,0
2465,20.33898305,192.4046121,155.8829622,0
2466,21.01694915,178.3855942,166.0859398,0
2467,21.69491525,191.951955,155.2209939,0
2468,22.37288136,217.3960284,139.6392424,0
2469,23.05084746,209.3072061,143.1418317,0
2470,23.72881356,182.7142744,160.2478356,0
2471,24.40677966,183.0192833,160.7435297,0
2472,25.08474576,201.5995767,149.7090859,0
2473,25.76271186,231.4192742,126.8353698,0
2474,26.44067797,249.7353212,117.3425407,0
2475,27.11864407,255.3921112,111.8443477,0
2476,27.79661017,260.7886846,106.0399914,0
2477,28.47457627,266.9505808,96.72874287,0
2478,29.15254237,279.0075859,89.61035387,0
2479,29.83050847,284.6781728,87.78187808,0
2480,30.50847458,288.9293509,83.32403218,0
2481,31.18644068,296.2220805,78.25416034,0
2482,31.86440678,302.3764497,70.9129091,0
2483,32.54237288,313.2818713,67.27354525,0
2484,33.22033898,319.4406938,61.40265615,0
2485,33.89830508,328.7602274,57.54939127,0
2486,34.57627119,338.902266,52.67573711,0
2487,35.25423729,344.2776795,48.09896395,0
2488,35.93220339,352.4156213,44.36919572,0
2489,36.61016949,353.3495131,44.18954125,0
2490,37.28813559,354.9941134,42.62011746,0
2491,37.96610169,353.7379733,40.43140724,0
2492,38.6440678,354.8751078,40.3438613,0
2493,39.3220339,352.1590011,37.42813209,0
2494,0,348.1451585,36.16240924,0
2495,0.6896551724,351.1011961,36.02623234,0
2496,1.379310345,350.2725029,36.4870857,0
2497,2.068965517,350.9751791,36.6422232,0
2498,2.75862069,350.244021,36.73244317,0
2499,3.448275862,351.237554,37.23105381,0
2500,4.137931034,350.7449024,38.47464001,0
2501,4.827586207,351.7805913,38.89713502,0
2502,5.517241379,351.4480567,39.26598231,0
2503,6.206896552,352.5320351,40.33571971,0
2504,6.896551724,353.8345522,43.48723388,0
2505,7.586206897,349.829107,46.44993088,0
2506,8.275862069,340.3354173,51.73514151,0
2507,8.965517241,331.5365627,57.21551113,0
2508,9.655172414,324.5213983,60.75199867,0
2509,10.34482759,322.0586917,63.33723893,0
2510,11.03448276,314.3975007,69.88881785,0
2511,11.72413793,305.6625084,76.01686358,0
2512,12.4137931,299.2239349,79.78510626,0
2513,13.10344828,289.5897619,87.63813675,0
2514,13.79310345,279.6061563,95.62546925,0
2515,14.48275862,266.4333032,103.6227055,0
2516,15.17241379,258.7047802,108.8541591,0
2517,15.86206897,235.4197228,130.6709445,0
2518,16.55172414,215.1218691,145.577204,0
2519,17.24137931,199.3410312,150.8757232,0
2520,17.93103448,172.1619258,166.4593462,0
2521,18.62068966,158.3756329,175.3833435,0
2522,19.31034483,144.435572,179.00429,0
2523,20,138.3252438,176.2670371,0
2524,20.68965517,143.4492176,178.1187696,0
2525,21.37931034,169.1770648,168.3521965,0
2526,22.06896552,194.7929585,155.3052648,0
2527,22.75862069,220.3159752,144.4240905,0
2528,23.44827586,237.4245882,127.3339873,0
2529,24.13793103,255.0000173,111.4965408,0
2530,24.82758621,258.9753787,106.3833519,0
2531,25.51724138,263.1312892,100.0647644,0
2532,26.20689655,271.0394735,93.37573471,0
2533,26.89655172,282.8524496,85.58824672,0
2534,27.5862069,287.5117861,84.86449938,0
2535,28.27586207,299.0478117,77.55031618,0
2536,28.96551724,304.7339578,74.05278804,0
2537,29.65517241,314.6602581,68.19316875,0
2538,30.34482759,321.0396957,63.20342869,0
2539,31.03448276,326.4882469,59.30492747,0
2540,31.72413793,334.8769896,54.98336433,0
2541,32.4137931,342.7373762,51.18498685,0
2542,33.10344828,350.8706699,46.78063498,0
2543,33.79310345,355.0907196,44.97144423,0
2544,34.48275862,355.4029548,42.51678694,0
2545,35.17241379,353.0632326,40.12040824,0
2546,35.86206897,354.2754309,39.05042496,0
2547,36.55172414,351.4534562,37.33274508,0
2548,37.24137931,352.1615283,37.21416958,0
2549,37.93103448,351.8541115,36.99854734,0
2550,38.62068966,352.9717353,37.87713506,0
2551,39.31034483,354.2262808,37.83523185,0
2552,0,354.7983738,37.90005718,0
2553,0.701754386,354.4542725,37.27538173,0
2554,1.403508772,353.2322287,36.49040175,0
2555,2.105263158,352.8040952,36.55595108,0
2556,2.807017544,354.4298751,37.03919379,0
2557,3.50877193,355.5195871,37.572051,0
2558,4.210526316,356.32584,37.70231978,0
2559,4.912280702,358.2328288,40.15054304,0
2560,5.614035088,353.5701656,43.01960498,0
2561,6.315789474,352.6213567,45.26050125,0
2562,7.01754386,346.8326074,47.62144493,0
