,0,1,2
0,0.0,263.14859694567053,88.52936032333687
1,1.0,257.54588156196826,91.65723179336587
2,2.0,250.3063933059425,95.74780476652982
3,3.0,239.44248565741697,98.8323591768426
4,4.0,232.07995837368262,104.96149773044525
5,5.0,229.91213146320143,107.76481910168275
6,6.0,222.80854348109142,115.54565449094538
7,7.0,221.02007210730193,117.14293520948789
8,8.0,225.18276504791203,116.82005850704304
9,9.0,228.10715835237718,114.78865096485454
10,10.0,227.51753544208665,111.67066277855454
11,11.0,240.3863836497669,103.38869640988807
12,12.0,244.2514032859695,100.91093600543923
13,13.0,253.05559225819684,94.15529835021717
14,14.0,255.80073407808416,92.09544307013554
15,15.0,259.4914609470464,89.23707720437692
16,16.0,265.94483541073873,85.3698240963157
17,17.0,274.91186292296834,82.88873055955189
18,18.0,281.7261240918366,79.01635480961315
19,19.0,284.01963331323515,77.50600873882657
20,20.0,295.38666635640215,69.81406826161165
21,21.0,302.89098153711683,67.4447302800476
22,22.0,308.3627417038624,62.54083204089685
23,23.0,322.8196976860298,57.866318874831826
24,24.0,333.5363191352932,50.24374921392214
25,25.0,339.344589062067,45.320695709244106
26,26.0,345.6400290615811,41.460337677150015
27,27.0,351.47419906568757,38.38993200370292
28,28.0,358.0558276338909,36.04802747694021
29,29.0,352.83965314588716,35.39389001484434
30,30.0,353.2359817026663,35.92991643071777
31,31.0,356.8324861120282,35.381592259243725
32,32.0,358.7462677787965,34.98839534419902
33,33.0,357.73401644095657,35.196798076154444
34,34.0,356.75817365385853,35.09875754080809
35,35.0,355.31052871965267,36.41791637144225
36,36.0,355.92855155651205,36.91712806768931
37,0.0,354.04601845993886,41.20388797947813
38,0.6271186440677966,354.1672406573282,40.5011332308701
39,1.2542372881355932,356.1767369526593,41.623179632246874
40,1.8813559322033897,357.07416916808563,40.90600293920637
41,2.5084745762711864,357.0828708290883,40.80820146048095
42,3.135593220338983,357.8683425836397,41.62625321737338
43,3.7627118644067794,357.92812039925565,41.151910239894335
44,4.389830508474576,356.53194777063504,41.53993328664276
45,5.016949152542373,355.2426402817684,40.01084176167908
46,5.6440677966101696,356.2648327325742,40.75055466388604
47,6.271186440677966,356.42835747921697,42.43899791728071
48,6.898305084745763,358.9363036773316,42.572651058959515
49,7.525423728813559,356.43969195077347,43.292542752195104
