,Frames,Angles,label
0,0,109.0193951,0
1,1,118.6704114,0
2,2,131.7484751,0
3,3,149.0590568,0
4,4,155.4016934,0
5,5,158.009528,0
6,6,165.6356937,0
7,7,162.5841974,0
8,8,156.6283408,0
9,9,163.3321714,0
10,10,162.2230443,0
11,11,155.3364241,0
12,12,143.9958922,0
13,13,119.6919891,0
14,14,109.3905202,0
15,15,99.55989044,0
16,16,87.71549547,0
17,17,75.62706468,0
18,18,69.71997558,0
19,19,65.36280666,0
20,20,55.77451197,0
21,21,52.46119403,0
22,22,48.21489275,0
23,23,46.00699312,0
24,24,43.5986206,0
25,25,42.10014199,0
26,26,39.56828307,0
27,27,35.17449068,0
28,28,33.7902299,0
29,29,32.18823635,0
30,30,32.11127719,0
31,31,30.52808716,0
32,32,30.31701723,0
33,33,30.37120113,0
34,34,32.13907606,0
35,35,32.58209238,0
36,36,32.00535121,0
37,37,31.87493557,0
38,38,32.88524008,0
39,39,32.45200801,0
40,0,45.34376809,0
41,0.6666666667,45.4790878,0
42,1.333333333,45.95630287,0
43,2,46.18511079,0
44,2.666666667,47.63774176,0
45,3.333333333,48.90985084,0
46,4,50.16300272,0
47,4.666666667,51.00786297,0
48,5.333333333,52.30173644,0
49,6,53.14034023,0
50,6.666666667,56.63701118,0
51,7.333333333,57.33088669,0
52,8,58.15735324,0
53,8.666666667,60.115145,0
54,9.333333333,63.1037011,0
55,10,64.77019213,0
56,10.66666667,64.93243644,0
57,11.33333333,66.70827879,0
58,12,67.77907487,0
59,12.66666667,70.37755204,0
60,13.33333333,71.83085237,0
61,14,74.42459622,0
62,14.66666667,75.8330222,0
63,15.33333333,78.67249577,0
64,16,80.067357,0
65,16.66666667,90.69741946,0
66,17.33333333,96.64612491,0
67,18,101.9158891,0
68,18.66666667,110.5004806,0
69,19.33333333,116.3252386,0
70,20,121.4027329,0
71,20.66666667,123.3569867,0
72,21.33333333,122.6519062,0
73,22,116.7892407,0
74,22.66666667,117.7612039,0
75,23.33333333,116.9113508,0
76,24,115.4093922,0
77,24.66666667,114.4235637,0
78,25.33333333,116.3761782,0
79,26,110.4920727,0
80,26.66666667,103.825166,0
81,27.33333333,94.58091476,0
82,28,88.96131515,0
83,28.66666667,87.69076336,0
84,29.33333333,84.10763929,0
85,30,80.95147034,0
86,30.66666667,74.12645846,0
87,31.33333333,70.86517973,0
88,32,66.70562868,0
89,32.66666667,63.8031193,0
90,33.33333333,59.35528645,0
91,34,54.7165225,0
92,34.66666667,50.56631514,0
93,35.33333333,48.40953948,0
94,36,47.00160185,0
95,36.66666667,44.90438885,0
96,37.33333333,43.51103709,0
97,38,43.1034558,0
98,38.66666667,41.06202837,0
99,39.33333333,40.60917658,0
100,0,40.45631694,0
101,0.7692307692,40.26662893,0
102,1.538461538,39.21483444,0
103,2.307692308,39.19003061,0
104,3.076923077,39.70686761,0
105,3.846153846,40.88206996,0
106,4.615384615,42.0700311,0
107,5.384615385,44.02526496,0
108,6.153846154,48.29159577,0
109,6.923076923,48.6137997,0
110,7.692307692,54.65710668,0
111,8.461538462,57.67577709,0
112,9.230769231,61.46587638,0
113,10,65.35142073,0
114,10.76923077,68.95789039,0
115,11.53846154,68.89533952,0
116,12.30769231,70.61661549,0
117,13.07692308,76.07817818,0
118,13.84615385,82.84779041,0
119,14.61538462,85.81765228,0
120,15.38461538,87.31370959,0
121,16.15384615,96.7722102,0
122,16.92307692,103.9061242,0
123,17.69230769,110.5510787,0
124,18.46153846,114.1593856,0
125,19.23076923,114.4944747,0
126,20,121.8286362,0
127,20.76923077,126.1583341,0
128,21.53846154,130.972511,0
129,22.30769231,135.4203029,0
130,23.07692308,139.0319566,0
131,23.84615385,137.3001212,0
132,24.61538462,135.514901,0
133,25.38461538,135.0719632,0
134,26.15384615,128.4132664,0
135,26.92307692,124.763186,0
136,27.69230769,116.5364691,0
137,28.46153846,108.6438303,0
138,29.23076923,108.5437407,0
139,30,99.93643194,0
140,30.76923077,90.58022024,0
141,31.53846154,84.93706331,0
142,32.30769231,84.22217473,0
143,33.07692308,80.76924773,0
144,33.84615385,76.8458573,0
145,34.61538462,69.34693796,0
146,35.38461538,67.16743826,0
147,36.15384615,64.79564141,0
148,36.92307692,60.42257864,0
149,37.69230769,55.73338057,0
150,38.46153846,52.74708185,0
151,39.23076923,49.51508073,0
152,0,32.59612159,0
153,0.6779661017,32.45229146,0
154,1.355932203,31.64210808,0
155,2.033898305,32.19133726,0
156,2.711864407,32.42068135,0
157,3.389830508,33.98678225,0
158,4.06779661,34.1197353,0
159,4.745762712,36.18558407,0
160,5.423728814,40.91385083,0
161,6.101694915,46.4387362,0
162,6.779661017,48.67175727,0
163,7.457627119,49.61923428,0
164,8.13559322,50.51206295,0
165,8.813559322,52.69578371,0
166,9.491525424,56.5842309,0
167,10.16949153,61.69480383,0
168,10.84745763,65.77989899,0
169,11.52542373,72.66987281,0
170,12.20338983,78.00506334,0
171,12.88135593,85.82778828,0
172,13.55932203,97.95285621,0
173,14.23728814,104.9264589,0
174,14.91525424,123.0306539,0
175,15.59322034,144.6742256,0
176,16.27118644,156.6970798,0
177,16.94915254,156.5391931,0
178,17.62711864,165.0386805,0
179,18.30508475,176.963016,0
180,18.98305085,178.4161971,0
181,19.66101695,168.7687461,0
182,20.33898305,162.4041026,0
