,Frames,Angles,Angles-Hip
0,0.0,357.4390032678597,357.4390032678597
1,0.6349206349206349,358.0516165948965,358.0516165948965
2,1.2698412698412698,358.7827473644113,358.7827473644113
3,1.9047619047619047,357.3019350315959,357.3019350315959
4,2.5396825396825395,355.60244736231334,355.60244736231334
5,3.1746031746031744,356.00344776848476,356.00344776848476
6,3.8095238095238093,356.97060255495853,356.97060255495853
7,4.444444444444445,354.86006408351193,354.86006408351193
8,5.079365079365079,352.54346518025307,352.54346518025307
9,5.7142857142857135,350.16325353753035,350.16325353753035
10,6.349206349206349,343.5805357815255,343.5805357815255
11,6.984126984126984,335.2853256760584,335.2853256760584
12,7.619047619047619,337.12062482679744,337.12062482679744
13,8.253968253968253,330.761814332164,330.761814332164
14,8.88888888888889,326.3362615613459,326.3362615613459
15,9.523809523809524,319.2953337346816,319.2953337346816
16,10.158730158730158,313.2781693023321,313.2781693023321
17,10.793650793650793,303.5171596198453,303.5171596198453
18,11.428571428571427,300.885351128856,300.885351128856
19,12.063492063492063,290.2842281784575,290.2842281784575
20,12.698412698412698,284.51427561292746,284.51427561292746
21,13.333333333333332,286.6847184858608,286.6847184858608
22,13.968253968253968,288.5605889602698,288.5605889602698
23,14.603174603174603,275.1306748632188,275.1306748632188
24,15.238095238095237,267.0751770768625,267.0751770768625
25,15.873015873015872,249.57824049890576,249.57824049890576
26,16.507936507936506,209.10529204364573,209.10529204364573
27,17.142857142857142,172.96209612590516,172.96209612590516
28,17.77777777777778,157.3615205898675,157.3615205898675
29,18.41269841269841,139.4947292683546,139.4947292683546
30,19.047619047619047,102.40206533899598,102.40206533899598
31,19.68253968253968,97.97008536016892,97.97008536016892
32,20.317460317460316,74.63709706098943,74.63709706098943
33,20.952380952380953,74.40001436470912,74.40001436470912
34,21.587301587301585,91.71022040094682,91.71022040094682
35,22.22222222222222,104.77741388702965,104.77741388702965
36,22.857142857142854,126.76368012717938,126.76368012717938
37,23.49206349206349,171.7052798469203,171.7052798469203
38,24.126984126984127,181.5250701374043,181.5250701374043
39,24.76190476190476,193.0883959871283,193.0883959871283
40,25.396825396825395,243.88710148620856,243.88710148620856
41,26.03174603174603,268.35992199936356,268.35992199936356
42,26.666666666666664,306.87005850226956,306.87005850226956
43,27.3015873015873,312.8797643680453,312.8797643680453
44,27.936507936507937,318.8976254796901,318.8976254796901
45,28.57142857142857,328.69443901380623,328.69443901380623
46,29.206349206349206,339.5565025112558,339.5565025112558
47,29.84126984126984,338.30197434564286,338.30197434564286
48,30.476190476190474,345.03729218808417,345.03729218808417
49,31.11111111111111,347.1982684188278,347.1982684188278
50,31.746031746031743,347.88798092121567,347.88798092121567
51,32.38095238095238,354.6203891030706,354.6203891030706
52,33.01587301587301,356.50288486097446,356.50288486097446
53,33.65079365079365,358.0655674836473,358.0655674836473
54,34.285714285714285,357.80628986028796,357.80628986028796
55,34.92063492063492,358.80079636666414,358.80079636666414
56,35.55555555555556,357.80554218194493,357.80554218194493
57,36.19047619047619,357.7903618591435,357.7903618591435
58,36.82539682539682,359.04328174257796,359.04328174257796
59,37.460317460317455,358.008303177646,358.008303177646
60,38.095238095238095,357.6091605829287,357.6091605829287
61,38.73015873015873,355.4653691081368,355.4653691081368
62,39.36507936507936,354.25928064411767,354.25928064411767
